term,estimate,std_error,t_value,p_value,sample,outcome,fe,level
tc_black_c,0.00453212489898736,0.00573000861767109,0.790945564202206,0.429474371248353,full,same,tract,bldg_year
tc_female_c,0.00476736455264718,0.00582453108313219,0.818497572526214,0.413591553780274,full,same,tract,bldg_year
tc_black_female_c,-0.0168907617700381,0.00728737467601716,-2.31781162914894,0.0209956537560427,full,same,tract,bldg_year
tc_cov_c,-0.00761209572160756,0.0053648228748549,-1.41889040871893,0.156759356046774,full,same,tract,bldg_year
tenant_comp_missing,0.000358984437874542,0.00225440498306554,0.159236889809566,0.87356773902808,full,same,tract,bldg_year
log_total_area,0.00554896827864711,0.00141038425513111,3.93436629660281,9.93506518431051e-05,full,same,tract,bldg_year
log_market_value,0.012275138872763,0.00157368447917299,7.80025413939004,6.15520241193314e-14,full,same,tract,bldg_year
tc_black_c,0.00272295903348935,0.00592722848380627,0.459398358090754,0.646024291168518,full,same,bg,bldg_year
tc_female_c,0.00395774575481866,0.00566029300018034,0.699212170587736,0.484543475442987,full,same,bg,bldg_year
tc_black_female_c,-0.0162081498045804,0.00740857399715691,-2.18775567481682,0.0288634744144757,full,same,bg,bldg_year
tc_cov_c,-0.00828845417820677,0.00559657645687988,-1.48098649988383,0.138850456887921,full,same,bg,bldg_year
tenant_comp_missing,-0.000685928677404372,0.00227748421922745,-0.301178235007506,0.763326346111329,full,same,bg,bldg_year
log_total_area,0.00534268218493696,0.00150043350729874,3.5607590466008,0.000383016032511475,full,same,bg,bldg_year
log_market_value,0.0117350100457863,0.00168770791090757,6.95322334507262,5.61632293204705e-12,full,same,bg,bldg_year
tc_black_c,0.00136226331627971,0.00793195357962508,0.171743732814949,0.863731397018545,pre,same,tract,bldg_year
tc_female_c,0.00558719426408995,0.00732341010331756,0.762922489013541,0.445987997847114,pre,same,tract,bldg_year
tc_black_female_c,-0.0224012311657656,0.00971766300400247,-2.30520765708165,0.021698789139111,pre,same,tract,bldg_year
tc_cov_c,-0.0067625575980948,0.00774255790838852,-0.873426802629146,0.382987958956996,pre,same,tract,bldg_year
tenant_comp_missing,0.000499917630644696,0.00277191308114406,0.180351120691838,0.856974088081113,pre,same,tract,bldg_year
log_total_area,0.000455380872259839,0.0019622802806617,0.23206719078188,0.816612080247206,pre,same,tract,bldg_year
log_market_value,0.00955623786588018,0.00200517118961735,4.76579651421373,2.69250498042663e-06,pre,same,tract,bldg_year
tc_black_c,-0.00303491231455944,0.0082165893172725,-0.369364002187574,0.711916672274515,pre,same,bg,bldg_year
tc_female_c,0.00403985179374569,0.00716751917162521,0.563633203764375,0.573101143272569,pre,same,bg,bldg_year
tc_black_female_c,-0.0203686858574404,0.00980716747332471,-2.0769183266058,0.0380054130531603,pre,same,bg,bldg_year
tc_cov_c,-0.00924828516337338,0.00762768396330446,-1.21246307632374,0.225555802022687,pre,same,bg,bldg_year
tenant_comp_missing,-0.00131746710718647,0.0029383301850733,-0.448372723351241,0.653959057639415,pre,same,bg,bldg_year
log_total_area,-0.000291622945153624,0.00228128174859089,-0.127832936608446,0.898300985690014,pre,same,bg,bldg_year
log_market_value,0.0102742010210793,0.00228639253597979,4.49362953184958,7.62549293706882e-06,pre,same,bg,bldg_year
tc_black_c,-0.00880152374217507,0.0117887416309676,-0.746604176908463,0.455769095194657,full,bw,tract,bldg_year
tc_female_c,-0.00160596160091784,0.0115697046844724,-0.138807484263034,0.889676592279236,full,bw,tract,bldg_year
tc_black_female_c,0.00712656600544575,0.0152540290596671,0.467192371115182,0.640632871726547,full,bw,tract,bldg_year
tc_cov_c,-0.0172249473615142,0.0110345608108235,-1.5609998129349,0.119365043866708,full,bw,tract,bldg_year
tenant_comp_missing,0.00197252849271918,0.00491035615301996,0.401707825512014,0.688127291492767,full,bw,tract,bldg_year
log_total_area,0.0414996857504666,0.00394091596796852,10.5304670507499,6.75621870216094e-23,full,bw,tract,bldg_year
log_market_value,0.0526047497975019,0.00434789712207906,12.0988947807366,1.09834758853714e-28,full,bw,tract,bldg_year
tc_black_c,-0.0110604516005824,0.0114090399586124,-0.969446302292345,0.332501374088511,full,bw,bg,bldg_year
tc_female_c,-0.00578220295893702,0.0114195304973465,-0.506343317729269,0.612700795893186,full,bw,bg,bldg_year
tc_black_female_c,0.0122800431728388,0.0147969086183181,0.829905995204735,0.406743026289149,full,bw,bg,bldg_year
tc_cov_c,-0.0162859039765109,0.0110138623729888,-1.47867327781865,0.139467874485393,full,bw,bg,bldg_year
tenant_comp_missing,0.00228198199224778,0.00491724452125652,0.464077387728657,0.642669349409039,full,bw,bg,bldg_year
log_total_area,0.0420878675215259,0.00409913168251047,10.2675080434961,7.67354715910776e-24,full,bw,bg,bldg_year
log_market_value,0.050529863885192,0.00407568076182632,12.3978954285294,1.85606035488926e-33,full,bw,bg,bldg_year
tc_black_c,-0.0206970827627012,0.0138338007177921,-1.49612410825623,0.135460189692248,pre,bw,tract,bldg_year
tc_female_c,-0.00738102860550893,0.0138809466626396,-0.53173812888244,0.595221393684497,pre,bw,tract,bldg_year
tc_black_female_c,0.0129729760049362,0.0186151530550932,0.696904074145483,0.486293461146288,pre,bw,tract,bldg_year
tc_cov_c,-0.0238934762253282,0.0142595781271877,-1.67560891438803,0.0946461484696263,pre,bw,tract,bldg_year
tenant_comp_missing,-0.000395018381562115,0.00548702529891865,-0.0719913541568622,0.942647066166325,pre,bw,tract,bldg_year
log_total_area,0.0290557144763023,0.00491828552904388,5.90769167522301,7.77430477009198e-09,pre,bw,tract,bldg_year
log_market_value,0.0522126666997763,0.00551789324209778,9.46242785225149,3.36638331644251e-19,pre,bw,tract,bldg_year
tc_black_c,-0.0288705069431193,0.0140648797960757,-2.05266645443884,0.0403050685095901,pre,bw,bg,bldg_year
tc_female_c,-0.0158672190919438,0.014322935490924,-1.10781893153107,0.268145261599567,pre,bw,bg,bldg_year
tc_black_female_c,0.0220501177127722,0.0187515875095921,1.17590671731088,0.23984778284042,pre,bw,bg,bldg_year
tc_cov_c,-0.0254268432859007,0.0141452241455418,-1.79755676009662,0.072479620863195,pre,bw,bg,bldg_year
tenant_comp_missing,-0.00206404712492877,0.0057627467931527,-0.35817071251183,0.720273801979486,pre,bw,bg,bldg_year
log_total_area,0.0285602239667462,0.00545152151188198,5.23894547687231,1.88269855739006e-07,pre,bw,bg,bldg_year
log_market_value,0.0524217892125561,0.00543677590341376,9.64207282842766,2.69337356455707e-21,pre,bw,bg,bldg_year
