term,estimate,std_error,t_value,p_value,timing,sample,stem,model,conf_low,conf_high,stem_label,sample_label
lag_complaint_12,0.000379801086690328,0.000315795788009852,1.20267939317316,0.229102919070757,-12,full,complaint,distributed_lag,-0.000239158657808982,0.000998760831189637,Any Complaint,Full Sample
lag_complaint_11,0.000442029756303339,0.00029778447268233,1.48439491260811,0.137706959524873,-11,full,complaint,distributed_lag,-0.000141627810154027,0.00102568732276071,Any Complaint,Full Sample
lag_complaint_10,0.000642618761410289,0.000309861699590992,2.07388897130083,0.0380918720886356,-10,full,complaint,distributed_lag,3.52898302119447e-05,0.00124994769260863,Any Complaint,Full Sample
lag_complaint_9,0.000487214542948776,0.000301083424807409,1.61820446695273,0.105621318064961,-9,full,complaint,distributed_lag,-0.000102908969673746,0.0010773380555713,Any Complaint,Full Sample
lag_complaint_8,0.000915689249238858,0.000305769279517077,2.99470650120598,0.00274768227912544,-8,full,complaint,distributed_lag,0.000316381461385387,0.00151499703709233,Any Complaint,Full Sample
lag_complaint_7,0.00119361807963251,0.000305262182183042,3.91014068987029,9.22959439703717e-05,-7,full,complaint,distributed_lag,0.000595304202553747,0.00179193195671127,Any Complaint,Full Sample
lag_complaint_6,0.00167503153728335,0.000304385238893493,5.50299857960409,3.74189212860039e-08,-6,full,complaint,distributed_lag,0.0010784364690521,0.00227162660551459,Any Complaint,Full Sample
lag_complaint_5,0.00175003818097932,0.000307850548192331,5.68470055114528,1.31362118530707e-08,-5,full,complaint,distributed_lag,0.00114665110652235,0.00235342525543629,Any Complaint,Full Sample
lag_complaint_4,0.00343895690936508,0.000312498697281249,11.0047079852945,3.74782136574279e-28,-4,full,complaint,distributed_lag,0.00282645946269384,0.00405145435603633,Any Complaint,Full Sample
lag_complaint_3,0.00444991820832526,0.000322130876900807,13.8140070617804,2.27513599423734e-43,-3,full,complaint,distributed_lag,0.00381854168959968,0.00508129472705084,Any Complaint,Full Sample
lag_complaint_2,0.00841446457153332,0.00035468705648811,23.7236302188416,4.13214059285872e-124,-2,full,complaint,distributed_lag,0.00771927794081662,0.00910965120225001,Any Complaint,Full Sample
lag_complaint_1,0.0147396009507977,0.000379877534024795,38.8009282745202,0,-1,full,complaint,distributed_lag,0.0139950409841091,0.0154841609174863,Any Complaint,Full Sample
filed_complaint,0.0242999920334286,0.000435108504434293,55.8481201488402,0,0,full,complaint,distributed_lag,0.0234471793647374,0.0251528047021198,Any Complaint,Full Sample
lead_complaint_1,0.0124278540879354,0.000382528499343962,32.4887011274956,1.77113340215196e-230,1,full,complaint,distributed_lag,0.0116780982292212,0.0131776099466495,Any Complaint,Full Sample
lead_complaint_2,0.00431974340354191,0.000323117888548263,13.3689391910491,9.8603340397354e-41,2,full,complaint,distributed_lag,0.00368643234198732,0.00495305446509651,Any Complaint,Full Sample
lead_complaint_3,0.00229179098099685,0.000313007614301306,7.32183779654233,2.46207499773427e-13,3,full,complaint,distributed_lag,0.00167829605696629,0.00290528590502741,Any Complaint,Full Sample
lead_complaint_4,0.0011536367018544,0.000301689487910128,3.82392077975903,0.000131416251861971,4,full,complaint,distributed_lag,0.000562325305550549,0.00174494809815825,Any Complaint,Full Sample
lead_complaint_5,0.000314473852818061,0.000314972814764856,0.99841585710447,0.31807987515241,5,full,complaint,distributed_lag,-0.000302872864121057,0.00093182056975718,Any Complaint,Full Sample
lead_complaint_6,0.000468697694521003,0.000299032140792362,1.56738233314676,0.117028137568457,6,full,complaint,distributed_lag,-0.000117405301432026,0.00105480069047403,Any Complaint,Full Sample
lead_complaint_7,-4.15318092240315e-05,0.000302257541429458,-0.137405369697696,0.890710630534491,7,full,complaint,distributed_lag,-0.00063395659042577,0.000550892971977707,Any Complaint,Full Sample
lead_complaint_8,-6.31976754084725e-05,0.000303143215716443,-0.208474648720448,0.834858749101172,8,full,complaint,distributed_lag,-0.000657358378212702,0.000530963027395757,Any Complaint,Full Sample
lead_complaint_9,-4.53645323151064e-05,0.000302741993897402,-0.149845522687811,0.880886759030249,9,full,complaint,distributed_lag,-0.000638738840354014,0.000548009775723801,Any Complaint,Full Sample
lead_complaint_10,-0.000236773030717763,0.000307871384982179,-0.769064753229563,0.441856470661612,10,full,complaint,distributed_lag,-0.000840200945282833,0.000366654883847307,Any Complaint,Full Sample
lead_complaint_11,-0.000358876516286358,0.000312958935833312,-1.14672078408876,0.251499454084232,11,full,complaint,distributed_lag,-0.00097227603051965,0.000254522997946933,Any Complaint,Full Sample
lead_complaint_12,-0.000131447324878574,0.000301924645925344,-0.43536467344596,0.663298575614792,12,full,complaint,distributed_lag,-0.000723219630892248,0.0004603249811351,Any Complaint,Full Sample
lag_severe_12,0.00155571538911653,0.00052689141650176,2.95262997344982,0.00315143876718262,-12,full,severe,distributed_lag,0.000523008212773077,0.00258842256545998,Severe Complaint,Full Sample
lag_severe_11,0.00147282561825064,0.000492389392220742,2.99118064182495,0.0027796067125359,-11,full,severe,distributed_lag,0.000507742409497981,0.00243790882700329,Severe Complaint,Full Sample
lag_severe_10,0.00183426572298796,0.000510871151258514,3.59046643849297,0.000330225831621656,-10,full,severe,distributed_lag,0.000832958266521272,0.00283557317945464,Severe Complaint,Full Sample
lag_severe_9,0.00190810412787032,0.000510089293034309,3.74072570023927,0.000183579862362676,-9,full,severe,distributed_lag,0.000908329113523071,0.00290787914221756,Severe Complaint,Full Sample
lag_severe_8,0.00198600345265268,0.000510236353477937,3.89232056695968,9.93466014520066e-05,-8,full,severe,distributed_lag,0.000985940199835924,0.00298606670546944,Severe Complaint,Full Sample
lag_severe_7,0.00299167055436335,0.00051398447883893,5.82054649027809,5.88125785786668e-09,-7,full,severe,distributed_lag,0.00198426097583904,0.00399908013288765,Severe Complaint,Full Sample
lag_severe_6,0.00373712924664486,0.00051574456484962,7.24608556511793,4.3169914819416e-13,-6,full,severe,distributed_lag,0.0027262698995396,0.00474798859375011,Severe Complaint,Full Sample
lag_severe_5,0.00435305059087938,0.000521602616292608,8.34553059150572,7.16776213238065e-17,-5,full,severe,distributed_lag,0.00333070946294587,0.00537539171881289,Severe Complaint,Full Sample
lag_severe_4,0.0064724099605839,0.00052425156693842,12.3460002196697,5.39144720650903e-35,-4,full,severe,distributed_lag,0.0054448768893846,0.00749994303178321,Severe Complaint,Full Sample
lag_severe_3,0.00901312351842951,0.000535244273739972,16.8392712647837,1.50278201133451e-63,-3,full,severe,distributed_lag,0.00796404474189917,0.0100622022949599,Severe Complaint,Full Sample
lag_severe_2,0.0159521303113333,0.000600524679067536,26.5636548627826,5.33832381029186e-155,-2,full,severe,distributed_lag,0.0147751019403609,0.0171291586823057,Severe Complaint,Full Sample
lag_severe_1,0.0267614870186532,0.000647164866791087,41.3518848007739,0,-1,full,severe,distributed_lag,0.0254930438797427,0.0280299301575637,Severe Complaint,Full Sample
filed_severe,0.043433476699675,0.000758396348632502,57.2701553455417,0,0,full,severe,distributed_lag,0.0419470198563553,0.0449199335429947,Severe Complaint,Full Sample
lead_severe_1,0.0222280266586713,0.000654829185213781,33.9447708816072,2.67074700580934e-251,1,full,severe,distributed_lag,0.0209445614556523,0.0235114918616904,Severe Complaint,Full Sample
lead_severe_2,0.00681949227658952,0.000532943576563706,12.7958991842251,1.8347097746796e-37,2,full,severe,distributed_lag,0.00577492286652465,0.00786406168665438,Severe Complaint,Full Sample
lead_severe_3,0.0029528540311487,0.000513786434089507,5.7472401667855,9.09430313938667e-09,3,full,severe,distributed_lag,0.00194583262033327,0.00395987544196414,Severe Complaint,Full Sample
lead_severe_4,0.00123081888340336,0.000500008694165445,2.46159496377898,0.0138335528619114,4,full,severe,distributed_lag,0.000250801842839092,0.00221083592396763,Severe Complaint,Full Sample
lead_severe_5,-1.93536091131739e-05,0.00052245700003189,-0.0370434487661044,0.970450427511808,5,full,severe,distributed_lag,-0.00104336932917568,0.00100466211094933,Severe Complaint,Full Sample
lead_severe_6,0.000580866951964579,0.000499003511917309,1.16405383547849,0.244404641255993,6,full,severe,distributed_lag,-0.000397179931393346,0.0015589138353225,Severe Complaint,Full Sample
lead_severe_7,-0.000216892815339705,0.000497272109960857,-0.436165252374153,0.662717665961941,7,full,severe,distributed_lag,-0.00119154615086298,0.000757760520183574,Severe Complaint,Full Sample
lead_severe_8,-0.000131943060562999,0.000500017519199525,-0.263876875302742,0.791875273983884,8,full,severe,distributed_lag,-0.00111197739819407,0.00084809127706807,Severe Complaint,Full Sample
lead_severe_9,0.00017096428826883,0.000503501629249641,0.339550615801611,0.734195601481904,9,full,severe,distributed_lag,-0.000815898905060466,0.00115782748159813,Severe Complaint,Full Sample
lead_severe_10,8.63914619368754e-06,0.000516519257922868,0.0167257000802429,0.986655473714869,10,full,severe,distributed_lag,-0.00100373859933513,0.00102101689172251,Severe Complaint,Full Sample
lead_severe_11,0.000160731506529547,0.000524135893129736,0.306659987679496,0.759102750737165,11,full,severe,distributed_lag,-0.000866574844004736,0.00118803785706383,Severe Complaint,Full Sample
lead_severe_12,0.000444427112691622,0.000496317204470418,0.895449741996827,0.370548618714936,12,full,severe,distributed_lag,-0.000528354608070397,0.00141720883345364,Severe Complaint,Full Sample
lag_non_severe_12,-0.000203143546103224,0.000304842365209911,-0.666388826773937,0.50516395625861,-12,full,non_severe,distributed_lag,-0.00080063458191465,0.000394347489708201,Non-Severe Complaint,Full Sample
lag_non_severe_11,-0.000288362476959482,0.000301583297237656,-0.956161961225076,0.338992450297899,-11,full,non_severe,distributed_lag,-0.000879465739545288,0.000302740785626323,Non-Severe Complaint,Full Sample
lag_non_severe_10,4.04316977968543e-05,0.000310078667815303,0.130391742462391,0.896256730364031,-10,full,non_severe,distributed_lag,-0.000567322491121139,0.000648185886714847,Non-Severe Complaint,Full Sample
lag_non_severe_9,-0.000425181350276397,0.000299828026494704,-1.41808407721987,0.156168963766451,-9,full,non_severe,distributed_lag,-0.00101284428220602,0.000162481581653223,Non-Severe Complaint,Full Sample
lag_non_severe_8,0.000136230732642531,0.000301224541760022,0.45225641923646,0.651085131715996,-8,full,non_severe,distributed_lag,-0.000454169369207112,0.000726630834492175,Non-Severe Complaint,Full Sample
lag_non_severe_7,-0.000349431455701261,0.00030547882937861,-1.14388108796952,0.25267536664271,-7,full,non_severe,distributed_lag,-0.000948169961283337,0.000249307049880815,Non-Severe Complaint,Full Sample
lag_non_severe_6,0.000173171350291272,0.000308060698223889,0.562133862870806,0.574025927837641,-6,full,non_severe,distributed_lag,-0.000430627618227549,0.000776970318810094,Non-Severe Complaint,Full Sample
lag_non_severe_5,-0.000572063315870336,0.000304873988102271,-1.87639266777471,0.0606039434367018,-5,full,non_severe,distributed_lag,-0.00116961633255079,2.54897008101147e-05,Non-Severe Complaint,Full Sample
lag_non_severe_4,0.000928323429502504,0.000320252064239849,2.89872738745955,0.0037475222229426,-4,full,non_severe,distributed_lag,0.000300629383592401,0.00155601747541261,Non-Severe Complaint,Full Sample
lag_non_severe_3,0.000448162474827489,0.000324255715657721,1.38212667714564,0.166935527436751,-3,full,non_severe,distributed_lag,-0.000187378727861645,0.00108370367751662,Non-Severe Complaint,Full Sample
lag_non_severe_2,0.00145083557856261,0.000338487001940621,4.28623719742455,1.81874471200687e-05,-2,full,non_severe,distributed_lag,0.000787401054758988,0.00211427010236622,Non-Severe Complaint,Full Sample
lag_non_severe_1,0.00268927114578654,0.00034834687521679,7.72009550570217,1.17185458513915e-14,-1,full,non_severe,distributed_lag,0.00200651127036163,0.00337203102121145,Non-Severe Complaint,Full Sample
filed_non_severe,0.00387159276596991,0.000361469267054109,10.7107107542572,9.33736753913614e-27,0,full,non_severe,distributed_lag,0.00316311300254386,0.00458007252939596,Non-Severe Complaint,Full Sample
lead_non_severe_1,0.00237686059037562,0.000346737495460291,6.85492806949062,7.17107258632292e-12,1,full,non_severe,distributed_lag,0.00169725509927345,0.00305646608147779,Non-Severe Complaint,Full Sample
lead_non_severe_2,0.00271857318200242,0.000341693772434392,7.95616836278281,1.79070295858879e-15,2,full,non_severe,distributed_lag,0.00204885338803101,0.00338829297597382,Non-Severe Complaint,Full Sample
lead_non_severe_3,0.00213854734396018,0.000345567822327556,6.18850253347113,6.09450128520321e-10,3,full,non_severe,distributed_lag,0.00146123441219817,0.00281586027572219,Non-Severe Complaint,Full Sample
lead_non_severe_4,0.0016528925376751,0.000332313589416181,4.97389390719457,6.57167572447562e-07,4,full,non_severe,distributed_lag,0.00100155790241939,0.00230422717293082,Non-Severe Complaint,Full Sample
lead_non_severe_5,0.00108760469549027,0.000329882992463157,3.29694079518736,0.000977740912810198,5,full,non_severe,distributed_lag,0.000441034030262478,0.00173417536071805,Non-Severe Complaint,Full Sample
lead_non_severe_6,0.000604749839640826,0.00032366455329587,1.86844630801448,0.0617024605876757,6,full,non_severe,distributed_lag,-2.96326848190796e-05,0.00123913236410073,Non-Severe Complaint,Full Sample
lead_non_severe_7,0.000493824221194378,0.000322717739254298,1.53020476139755,0.125968838957749,7,full,non_severe,distributed_lag,-0.000138702547744045,0.0011263509901328,Non-Severe Complaint,Full Sample
lead_non_severe_8,0.000219810443538168,0.000321441162874264,0.683827925374168,0.494085226063753,8,full,non_severe,distributed_lag,-0.00041021423569539,0.000849835122771726,Non-Severe Complaint,Full Sample
lead_non_severe_9,0.000268692854226647,0.000323873387872872,0.829623131407497,0.406753638435236,9,full,non_severe,distributed_lag,-0.000366098986004182,0.000903484694457477,Non-Severe Complaint,Full Sample
lead_non_severe_10,2.98416004325741e-05,0.000320177654088235,0.0932032577899714,0.925742250755904,10,full,non_severe,distributed_lag,-0.000597706601580367,0.000657389802445515,Non-Severe Complaint,Full Sample
lead_non_severe_11,-0.000427357570170045,0.000316102541324451,-1.35195866625887,0.176391231249563,11,full,non_severe,distributed_lag,-0.00104691855116597,0.000192203410825879,Non-Severe Complaint,Full Sample
lead_non_severe_12,-8.67475956578521e-05,0.000322018200472049,-0.269387244356649,0.78763219050455,12,full,non_severe,distributed_lag,-0.000717903268583068,0.000544408077267364,Non-Severe Complaint,Full Sample
