term,estimate,std_error,stat_value,p_value,model,conf_low,conf_high,heterogeneity_dim,heterogeneity_cut,sample,n_obs,n_pid
retaliatory_status::plausibly_retaliatory,0.0101215248923262,0.0063361108027894,1.59743495771418,0.110208230654433,fe_full_filing_rate_longrun_pre2019_cuts__0_5_,-0.00229725228114098,0.0225403020657935,filing_rate_longrun_pre2019_cuts,(0-5%],full,30665,8012
retaliatory_status::retaliatory,0.00277376888771991,0.00647356123209787,0.42847650439556,0.668315757306668,fe_full_filing_rate_longrun_pre2019_cuts__0_5_,-0.00991441112719192,0.0154619489026317,filing_rate_longrun_pre2019_cuts,(0-5%],full,30665,8012
retaliatory_status::plausibly_retaliatory,0.0021904333034293,0.00402531501131125,0.544164443596122,0.5863384843977,fe_full_filing_rate_longrun_pre2019_cuts__10_20_,-0.00569918411874074,0.0100800507255994,filing_rate_longrun_pre2019_cuts,(10-20%],full,54517,11937
retaliatory_status::retaliatory,-0.00509020335795595,0.00449409500838323,-1.13264257841918,0.257387137874699,fe_full_filing_rate_longrun_pre2019_cuts__10_20_,-0.0138986295743871,0.00371822285847518,filing_rate_longrun_pre2019_cuts,(10-20%],full,54517,11937
retaliatory_status::plausibly_retaliatory,0.00030000701833959,0.00436348770602303,0.0687539506357456,0.94518603842385,fe_full_filing_rate_longrun_pre2019_cuts__5_10_,-0.00825242888546555,0.00885244292214473,filing_rate_longrun_pre2019_cuts,(5-10%],full,48050,24331
retaliatory_status::retaliatory,-0.00216301661598165,0.00435357480007415,-0.496836901928229,0.619308559692156,fe_full_filing_rate_longrun_pre2019_cuts__5_10_,-0.010696023224127,0.00636998999216369,filing_rate_longrun_pre2019_cuts,(5-10%],full,48050,24331
retaliatory_status::plausibly_retaliatory,-0.00843775110130722,0.00600421167554458,-1.40530540181895,0.159950419320226,fe_full_filing_rate_longrun_pre2019_cuts_0,-0.0202060059853746,0.00333050378276015,filing_rate_longrun_pre2019_cuts,0,full,33218,15592
retaliatory_status::retaliatory,-0.0217667180473347,0.006749579893193,-3.22489968142856,0.00126276601671192,fe_full_filing_rate_longrun_pre2019_cuts_0,-0.034995894637993,-0.00853754145667645,filing_rate_longrun_pre2019_cuts,0,full,33218,15592
retaliatory_status::plausibly_retaliatory,-0.00105514139969339,0.0037359795257829,-0.282426975954124,0.777621405221241,fe_full_filing_rate_longrun_pre2019_cuts_20_,-0.00837766127022788,0.0062673784708411,filing_rate_longrun_pre2019_cuts,20%+,full,108612,11088
retaliatory_status::retaliatory,-0.00197807073525324,0.00436409217600667,-0.453260530592931,0.650370021475368,fe_full_filing_rate_longrun_pre2019_cuts_20_,-0.0105316914002263,0.00657554992971984,filing_rate_longrun_pre2019_cuts,20%+,full,108612,11088
retaliatory_status::plausibly_retaliatory,0.00632393050850693,0.0064357144425341,0.982630687699818,0.325819100147287,fe_pre_filing_rate_longrun_pre2019_cuts__0_5_,-0.0062900697988599,0.0189379308158738,filing_rate_longrun_pre2019_cuts,(0-5%],pre,25585,7962
retaliatory_status::retaliatory,0.00361727918067151,0.0067852109874844,0.533112262440141,0.593970754351737,fe_pre_filing_rate_longrun_pre2019_cuts__0_5_,-0.00968173435479791,0.0169162927161409,filing_rate_longrun_pre2019_cuts,(0-5%],pre,25585,7962
retaliatory_status::plausibly_retaliatory,0.000271752676153861,0.00428554469138401,0.0634114670884691,0.949439923585413,fe_pre_filing_rate_longrun_pre2019_cuts__10_20_,-0.00812791491895881,0.00867142027126653,filing_rate_longrun_pre2019_cuts,(10-20%],pre,48461,11879
retaliatory_status::retaliatory,-0.00874059982212581,0.00439992595778447,-1.98653338851344,0.0469970773011673,fe_pre_filing_rate_longrun_pre2019_cuts__10_20_,-0.0173644546993834,-0.000116744944868248,filing_rate_longrun_pre2019_cuts,(10-20%],pre,48461,11879
retaliatory_status::plausibly_retaliatory,-0.000924280056152957,0.00452538160353694,-0.204243561566291,0.838164891128242,fe_pre_filing_rate_longrun_pre2019_cuts__5_10_,-0.00979402799908535,0.00794546788677944,filing_rate_longrun_pre2019_cuts,(5-10%],pre,41379,24175
retaliatory_status::retaliatory,-0.00672339715826508,0.0045992907019249,-1.46183348563969,0.143799845864203,fe_pre_filing_rate_longrun_pre2019_cuts__5_10_,-0.0157380069340379,0.00229121261750772,filing_rate_longrun_pre2019_cuts,(5-10%],pre,41379,24175
retaliatory_status::plausibly_retaliatory,-0.0094251860968638,0.00841828038107474,-1.11960942974205,0.262915225970881,fe_pre_filing_rate_longrun_pre2019_cuts_0,-0.0259250156437703,0.00707464345004268,filing_rate_longrun_pre2019_cuts,0,pre,19693,7713
retaliatory_status::retaliatory,-0.0204788995011662,0.00846995423052622,-2.41782882690901,0.0156365288597159,fe_pre_filing_rate_longrun_pre2019_cuts_0,-0.0370800097929976,-0.00387778920933481,filing_rate_longrun_pre2019_cuts,0,pre,19693,7713
retaliatory_status::plausibly_retaliatory,-0.00359736612968716,0.003730392513716,-0.964339842646658,0.33489691832091,fe_pre_filing_rate_longrun_pre2019_cuts_20_,-0.0109089354565705,0.0037142031971962,filing_rate_longrun_pre2019_cuts,20%+,pre,94688,10925
retaliatory_status::retaliatory,-0.00341110980913609,0.00460780078891311,-0.740290209017631,0.459139830571561,fe_pre_filing_rate_longrun_pre2019_cuts_20_,-0.0124423993554058,0.0056201797371336,filing_rate_longrun_pre2019_cuts,20%+,pre,94688,10925
retaliatory_status::plausibly_retaliatory,-0.00364306860946417,0.00487620338861061,-0.74711170128246,0.455004235806281,fe_full_filing_rate_eb_pre_covid_cuts__0_5_,-0.013200427251141,0.00591429003221263,filing_rate_eb_pre_covid_cuts,(0-5%],full,54875,21696
retaliatory_status::retaliatory,-0.0100045654538392,0.00555298558036193,-1.80165521935086,0.0716135479355976,fe_full_filing_rate_eb_pre_covid_cuts__0_5_,-0.0208884171913485,0.000879286283670233,filing_rate_eb_pre_covid_cuts,(0-5%],full,54875,21696
retaliatory_status::plausibly_retaliatory,0.00230891582811098,0.00373621194829352,0.617983096265605,0.536594766173081,fe_full_filing_rate_eb_pre_covid_cuts__10_20_,-0.00501405959054432,0.00963189124676627,filing_rate_eb_pre_covid_cuts,(10-20%],full,65107,16994
retaliatory_status::retaliatory,-0.00489373379536248,0.00436115244291217,-1.12211940752401,0.26182753374433,fe_full_filing_rate_eb_pre_covid_cuts__10_20_,-0.0134415925834703,0.00365412499274538,filing_rate_eb_pre_covid_cuts,(10-20%],full,65107,16994
retaliatory_status::plausibly_retaliatory,0.00269288727720661,0.00477292719199931,0.564200367799577,0.572622950247022,fe_full_filing_rate_eb_pre_covid_cuts__5_10_,-0.00666205001911204,0.0120478245735253,filing_rate_eb_pre_covid_cuts,(5-10%],full,47856,24465
retaliatory_status::retaliatory,-0.00322759724552179,0.00439589910883075,-0.73422914530454,0.462816130672304,fe_full_filing_rate_eb_pre_covid_cuts__5_10_,-0.0118435594988301,0.00538836500778648,filing_rate_eb_pre_covid_cuts,(5-10%],full,47856,24465
retaliatory_status::plausibly_retaliatory,0.000928481916253487,0.00381670343038289,0.243268027812248,0.807804630298211,fe_full_filing_rate_eb_pre_covid_cuts_20_,-0.00655225680729698,0.00840922063980395,filing_rate_eb_pre_covid_cuts,20%+,full,105841,7276
retaliatory_status::retaliatory,-0.00062550960396486,0.00449580394149167,-0.139131868761457,0.889349797169239,fe_full_filing_rate_eb_pre_covid_cuts_20_,-0.00943728532928853,0.00818626612135881,filing_rate_eb_pre_covid_cuts,20%+,full,105841,7276
retaliatory_status::plausibly_retaliatory,-0.00653679281249375,0.00572548706623311,-1.14170073862282,0.253598193484314,fe_pre_filing_rate_eb_pre_covid_cuts__0_5_,-0.0177587474623106,0.00468516183732315,filing_rate_eb_pre_covid_cuts,(0-5%],pre,37717,13841
retaliatory_status::retaliatory,-0.00803135633693226,0.00640639879123649,-1.25364601840251,0.209991880516084,fe_pre_filing_rate_eb_pre_covid_cuts__0_5_,-0.0205878979677558,0.00452518529389127,filing_rate_eb_pre_covid_cuts,(0-5%],pre,37717,13841
retaliatory_status::plausibly_retaliatory,-0.000182493795795293,0.00398407160391879,-0.0458058523887446,0.96346553286905,fe_pre_filing_rate_eb_pre_covid_cuts__10_20_,-0.00799127413947612,0.00762628654788553,filing_rate_eb_pre_covid_cuts,(10-20%],pre,57700,16986
retaliatory_status::retaliatory,-0.0110547294938896,0.00417277834461643,-2.6492491527023,0.00807455170551598,fe_pre_filing_rate_eb_pre_covid_cuts__10_20_,-0.0192333750493378,-0.00287608393844139,filing_rate_eb_pre_covid_cuts,(10-20%],pre,57700,16986
retaliatory_status::plausibly_retaliatory,0.00197669116580756,0.00497525158094601,0.397304766130381,0.691146216411058,fe_pre_filing_rate_eb_pre_covid_cuts__5_10_,-0.00777480193284661,0.0117281842644617,filing_rate_eb_pre_covid_cuts,(5-10%],pre,40593,24348
retaliatory_status::retaliatory,-0.0063016270799734,0.00457844274173262,-1.37636909216619,0.168720051369055,fe_pre_filing_rate_eb_pre_covid_cuts__5_10_,-0.0152753748537693,0.00267212069382253,filing_rate_eb_pre_covid_cuts,(5-10%],pre,40593,24348
retaliatory_status::plausibly_retaliatory,-0.00143243213193175,0.00387336239695876,-0.369816192013545,0.711530218788006,fe_pre_filing_rate_eb_pre_covid_cuts_20_,-0.00902422242997092,0.00615935816610742,filing_rate_eb_pre_covid_cuts,20%+,pre,92908,7274
retaliatory_status::retaliatory,-0.00195658973882265,0.00474389461443633,-0.412443761475745,0.680026351525023,fe_pre_filing_rate_eb_pre_covid_cuts_20_,-0.0112546231831179,0.00734144370547256,filing_rate_eb_pre_covid_cuts,20%+,pre,92908,7274
